Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
RIVOLTA,,,,COMBINATA,6 String,SUNBURST,Solid,,799.00
Eastman,,,,,,,,,979.00
PRS,,Mahogany / Carved Figured Maple Top,,Studio 10-Top,6 String,Whale Blue,Solid,Right-Handed,2015.00
Jackson,,,,,,,,,599.99
Ibanez,,,,,,,,,479.99
Schecter,,,,C-6 FR Deluxe,6 String,White,Solid,Right-Handed,499.99
Peerless Guitars,,,,,,,,,999.77
Gibson,1967,Maple,Gibson ES,ES-335TD,6 String,Sunburst,Semi-Hollow,Right-Handed,4359.00
G&L Guitars,,,,,,,,,1199.99
,,Walnut,,Custom,6 String,,Solid,Right-Handed,475.00
Unbranded,,Solid Wood,,,6 String,Custom carved and painted,Solid,,700.00
Daisy Rock,,,,Bangles Signature,6 String,Black,Semi-Hollow,,419.00
Guild,2016,,Guild Newark Street,Starfire IV,6 String,Green,Semi-Hollow,Right-Handed,789.00
Jimy Nagy,,,,,,,,,699.99
Schecter,,,,,,,,,539.99
,,,,Vintage,,,,,999.00
Jackson,,,,,,,,,999.99
Fender,2019,Solid Wood,Fender Stratocaster,Players Strat,6 String,Buttercream,Solid,,607.50
,,Solid Wood,,,,,Solid,,1395.00
Jackson,,,,,,,,,599.88
ESP,,Solid Wood,,LRONBLK,6 String,Black,Solid,,799.00
Squier,,Poplar,,,,,Solidbody,,399.99
Indy Custom,,,,Custom,6 String,,Solid,Right-Handed,400.00
Ibanez,,,,,,,,,1125.88
Ibanez,,Mahogany,,,8 String,Black,Solid,,399.99
Xotic,,,,,,,,,2590.88
Peerless,2010,Maple,,,,Satin light sunburst,Hollow,Right-Handed,739.00
Ibanez,,,,,,,,,1039.99
Schecter,,,,,,,,,899.00
LTD,,,,EC-1000FM,,,,,699.99
Blakhart,,,,Custom,7 String,,,Right-Handed,799.00
Schecter,,Mahogany,,,6 String,Black,Solid,,349.99
G&L Guitars,,,,,,,,,1299.99
Ibanez,,,,,,,,,679.00
,,,,,,,,,799.00
Paul Reed Smith,,,,,,,,,1684.43
Guild,,,,Vintage,,,,,399.99
,,,,,,,,,299.00
Schecter,,,,,,,,,726.88
,,,,,,,,,2675.00
Squier,,Poplar,,,,,Solidbody,,399.99
Sublime Guitars,,,,,,,,,479.99
,,,,,,,,,1957.00
Fender,,,,,,,,,874.99
Unbranded,,,,,,,,,500.00
Martin,2012,,,,6 String,Black,Arch-Top,Right-Handed,4000.00
Ibanez,,,,,,Gray,,,325.00
Dean,,,Icon,Icon X,6 String,Satin Gold,Solid,Right-Handed,299.00
Schecter,,Walnut,,Corsair,6 String,Gloss Walnut,Semi-Hollow,,629.00
,,Solid Wood,,,6 String,,,,2150.00
,,,,,,,,,1675.00
Dean,,,,,,,PED,,387.00
Gary Kramer Guitars,2009,Mahogany,,Turbulence T,7 String,White,Solid Body,Right-Handed,1350.00
D'Angelico,,,,,,,,,559.99
Jackson,,,,,,,,,659.99
D'Angelico,,,D'Angelico Premier,EXL-1,6 String,Ocean Turquoise,Hollowbody,Right-Handed,619.00
Ernie Ball,2000,Alder,,Luke,,Black,Solid,Right-Handed,1300.00
,,,,,,,,,995.00
Fender,,,,JAZZ BASS,,,,,399.98
ESP,,,ESP LTD,,8 String,Black,,,649.99
Schecter Guitar Research,,,,,,,,,719.20
Gibson,2008,Mahogany,Gibson SG,Diablo,6 String,Silver,Solid,Right-Handed,2025.00
Schecter,,,,,,,,,716.88
Fender,,Alder,Fender Stratocaster,AMPERFSTRATRWHBST,6 String,White,Solid,Right-Handed,1049.95
Ibanez,,,,10FX PWMJBM,6 String,Pearl White,Solid,Right-Handed,750.00
MJT,,,,,,,,,535.00
,,,,,,,,,300.00
Schecter,,,,,,,,,539.99
Ibanez,,,,EH10 Erick Hansel,6 String,Green,Solid,Right-Handed,1249.00
Squier,,Poplar,,,,,Solidbody,,399.99
LTD,,Mahogany,,LTD BK-600 Bill Kelliher siganture,6 String,Olive Green Matte,Solid,Right-Handed,799.99
Squier,,Poplar,,,,,Solidbody,,399.99
KARERA SOLID BODY ELECTRIC GUITAR,,,,KARERA SOLID BODY ELECTRIC GUITAR,,,,,324.99
Nik Huber,2019,Mahogany,,Krautster II,6 String,Black,Solid,Right-Handed,3500.00
Eleca,,,,,,Blue,,,405.00
ESP,,,,,,,,,788.88
CUSTOM BUILT STRAT PARTSCASTER,,Solid Wood,CUSTOM PARTSCASTER STRAT,CUSTOM BUILT PARTSCASTER STRATOCASTER,6 String,Multi-Color,Solid,Right-Handed,875.00
,,,,,,,,,607.88
Yamaha,,,,,,,,,599.99
Alden,,,,Solid Body,,,,,399.00
Jackson,,,,,,,,,543.99
B & G Guitars,,,,THE LITTLE SISTER,,,,,3299.99
Fender,,,,,,,,,912.72
LTD,,,,EC-330FM,,,,,375.00
Rivolta,2019,,,Mondata II HB,6 String,Capo Gold,Solid,Right-Handed,799.95
Fender,2017,Ash,,American Professional Telecaster Deluxe,6 String,,,,1349.99
G&L,,,,,,,,,1299.99
,,,,Custom,,,,,2495.00
Jackson,,,,,,,,,771.88
Eastman,,,,,,,,,1439.00
Squier,2019,Maple,Affinity,Affinty Starcaster,6 String,White,Semi-Hollow,Right-Handed,299.99
Fender,,,,,,,,,899.99
Fender,,,,Stratocaster,Any,,Any,ANY,285.00
Fender,,Maple,Fender Telecaster,Classic Vibe '70s Telecaster,6 String,Multicolor,Solid,Right-Handed,399.99
,,,,,,,,,359.00
Fret King,,,,,,,,,799.00
Fender,,,,,,,,,2149.99
Paul Reed Smith,,Solid Wood,,SE Custom 24,6 String,Trampas Green,Solid,,829.00
Ibanez,,,,,,,,,399.99
Daisy Rock,,,,Bangles-Black,6 Strings,Black Two Tone,,,295.00
Eric Rifftone,,,,tele,,,Semi-Hollow,,375.00
Harmony,1959,Mahogany,,Vintage,6 String,"Silvertone" Sunburst,Hollow Body Electric Archtop,Right-Handed,575.00
Washburn,,Mahogany,,Pilsen WI70 USA Custom Shop,6 String,Blue,Solid,Right-Handed,690.00
Washburn,,Mahogany,,Pilsen WI70 USA Custom Shop,6 String,Blue,Solid,Right-Handed,690.00
Epiphone,2017,,,Century,,Red,Hollow,,599.99
