Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Ibanez,,,,,,,,,499.99
EVH,,,,,,,,,899.99
Schecter,,,,Hellcat VI,6 String,3-Tone Sunburst Pearl,Solid,,999.00
Schecter,,,,Hellraiser C-7 FR,7 String,Gloss White,Solid,,1164.00
Squier,,,,,,,,,299.99
Fender,,,,,,,,,674.99
Eric Rifftone,,Maple,,Strat,6 String,Gray,Solid,Right-Handed,350.00
Fanatics Authentic,,,,,,,,,499.99
Ibanez,,Maple,,,,,Hollow Body,,499.99
Dean Guitars,,Basswood,,,,,Solidbody,,299.00
Ibanez,,,,,,,,,329.99
Fender,,Alder,,,,,Solidbody,,499.99
Schecter,,,,Hellcat VI,6 String,3-Tone Sunburst Pearl,Solid,,1144.00
Ibanez,,,,,,,,,349.99
Dean,,,,,,,,,599.99
Schecter Guitar Research,,,,,,,,,399.00
Legator,,,,,,,,,1599.00
Dean,,,,,,,,,699.00
Ibanez,,Mahogany,,,,,Solidbody,,399.99
ST. BLUES,,,,BLUES MASTER 4,6 String,Blue,Solid,Right-Handed,439.00
Ibanez,,,,,,,,,349.99
Jackson,,,,,,,,,649.99
Schecter,,,,,,,,,349.00
Jackson Guitars,,,,,,,,,599.99
Eastman,,,,,,,,,1702.00
Schecter,,,,,,,,,899.00
Jackson,,,,,,,,,599.99
Schecter,,,,,,,,,299.00
Schecter Guitar Research,,,,,,,,,349.00
VENTURA,,,,V-1502,6 String,,Semi-Hollow,Right-Handed,499.99
Fender,,Alder,,,,,Solidbody,,674.99
ESP,,,,,,,,,1049.00
First Act,,,,,,,,,349.00
Dean,,,,TBXFMTBZ,,,,,399.00
Ibanez,,,,,,,,,529.99
Schecter,,Chambered Mahogany,,T S/H-1B,6 String,Black,Semi-Hollow,Right-Handed,774.99
Fender,,,,,6 String,Yellow,Solid,,674.99
Ibanez,,,,,,,,,299.99
Fender Musical Instruments,,,,,,,,,674.99
Jackson,,Poplar,,,,,Solidbody,,399.99
Fender,2009,,Fender Stratocaster,,6 String,Honeyburst,,Right-Handed,1099.99
First Act,,,,,,,,,349.00
Ibanez,,Maple,,,,,Hollow Body,,449.99
Jackson,,,,2911138522,6 String,Bright Blue,Solid,Left-Handed,299.99
Eastman,,,,,,,,,1064.00
D'Angelico,,,,,,,,,799.99
Yamaha,,,,,,,,,399.99
PRS,,,,,,,,,999.00
Dean Guitars,,,,,,,,,699.00
First Act,,,,,,,,,349.00
Ovation,1970s possibly early,Mahogany,Deacon Breradwinner,Vintage,6 String,Mahogany Sunbursty,Solid,,1500.00
Washburn,,,,,,,,,499.00
Schecter,,,,,,,,,949.00
D'Angelico,2019,,D'Angelico Premier,Premier Series SS,,White,Semi-Hollow,,550.00
Ibanez,,Ash,,,,,Solidbody,,1499.99
Dean,,,,Gran Sport,6 String,Classic Black,,,349.00
PRS,,,,,,,,,789.00
Fender,,,,,,,,,599.00
Dean Guitars,,,,,,,,,799.00
Epiphone,2013,Mahogany,SG PRO,SG,6 String,Black,Solid,Right-Handed,400.00
Squier,,,,,,,,,349.99
Fender,,Alder,,,,,Solidbody,,999.99
EVH,,,,,,White,Solid,,999.99
Fanatics Authentic,,,,,,,,,499.99
Ibanez,,,,,,,,,499.99
Fender,,Alder,,,6 String,,Solid,,1224.99
ESP,2008,,ESP LTD,AX-401FM,6 String,Transluscent Black,,Right-Handed,799.00
Dean Guitars,,,,,,,,,849.00
Gretsch,,,,G6228PE,6 String,Black Top,Chambered,,2199.99
Yamaha,,,,,,,,,299.99
Ibanez,,,,,,,,,349.99
PRS,,,,,,,,,5179.00
Fender,,Alder,,,,,Solidbody,,1699.99
Jackson,,,,,,,,,899.99
Yamaha,,,,,,,,,999.99
Ibanez,,Basswood,,,,,Solidbody,,899.99
EVH,,Basswood,,,,,Solidbody,,599.99
Dean,,,,,6 String,,,,578.00
D'Angelico Guitars,,,,,,,,,799.99
Schecter,,,,,,,,,1329.00
Schecter,,,,,,,,,791.01
Eastman,,,,,,,,,1064.00
Jackson,,,,,,,,,299.99
EVH,,,,,,White,Solid,,999.99
Squier,,Alder,,,,,Solidbody,,399.99
Schecter,,Ash,,,,,Solidbody,,1069.00
D'Angelico,,,D'Angelico Ludlow,Deluxe Ludlow,6 String,Black,Solid,Right-Handed,959.00
Zemaitis Guitars,,,,,,,,,1199.20
Dean,,,,,6 String,Black,,,998.00
total Music Source,,,,,,,,,549.00
Dean Guitars,,,,,,,,,899.00
Dean,,,,,6 String,Classic Black,,,1098.00
Ibanez,,Maple,,,,,Hollow Body,,699.99
EVH,,Basswood,,,,,Solidbody,,599.99
Jackson,,Basswood,,,,,Solidbody,,569.99
Epiphone,,,Epiphone Les Paul,Jared James Nichols Les Paul Custom,6 String,,Solid,,629.00
Schecter Guitar Research,,,,,,,,,469.00
Fender,,,,,6 String,Yellow,Solid,,674.99
Legator,,,,,,,,,1299.00
Dean,,,,,6 String,Classic Black,,,649.00
Xotic,,,,,,,,,2750.00
Schecter,,,,,,,,,1259.00
ESP,2015,Solid Wood,,M-200,6 String,White camo,Solid,,499.99
Schecter,2016,Mahogany,,,,Black,Solid,Right-Handed,1199.00
OM,2016,Solid Wood,,S1 Custom,6 String,Natural Mahogany,Solid,,895.00
Epiphone,,,Epiphone Signature Explorer,Lzzy Hale Explorer,6 String,Alpine White,Solid,,769.00
Eliassen,Don't Know,Don't Know,,Violin-shaped 6 string guitar,6 String,Red,Violin-Shaped,Right-Handed,399.00
Squier,2019,Maple,,Contemporary Active Starcaster,6 String,Ice Blue Metallic,Semi-Hollow,Right-Handed,399.99
ESP LTD,,,,,6,,Solid,,649.00
Dean Guitars,,,,,,,,,799.00
Unbranded,,,,,,,,,479.99
Ibanez,,,,,,,,,529.99
Mitchell,,,,,,,,,329.99
Fender,,Mahogany,,,,,Hollow Body,,1999.99
Sterling by Music Man,,,,,,,,,603.48
Gretsch Guitars,,,,,,,,,579.99
D'Angelico Guitars,,Maple,,,,,Semi-Hollow Body,,799.99
Schecter Guitar Research,,,,,,,,,469.00
Fender,,,,,,,,,1079.02
Ibanez,,,,,,,,,409.99
ESP,,,,Nergal-6,6 String,Black,Solid,,919.00
Jackson,,,,,,,,,899.99
Schecter,,,,,,,,,775.00
Dean Guitars,,,,,,,,,599.00
Schecter Guitar Research,,,,,,,,,369.00
Ibanez,,Maple,,,,,Hollow Body,,399.99
Epiphone,,,Epiphone Les Paul,Les Paul "1957" P90 Pro,6 String,Chicago Blue,Solid,,549.00
Charvel,1991,,,,,,,,899.99
Dean Guitars,,Ash,,,,,Solidbody,,729.00
Fender,2019,,,,,3-Color Sunburst,,,674.99
Schecter,,,,,,,,,899.00
Fender,,,,,,,,,999.99
Schecter Guitar Research,,,,,,,,,489.00
ESP,,,,Nergal-6,6 String,Black,Solid,,919.00
Yamaha,,,,,,,,,999.99
Ibanez,,Maple,,,,,Hollow Body,,449.99
Fender,,Alder,,,6 String,,Solid,,874.99
Fender,,Alder,,,,,Solidbody,,999.99
Godin,,,,,,,,,300.00
Washburn,,,,,,,,,1426.90
Jackson,,,,,,,,,299.99
Yamaha Guitars,,,,,,,,,999.99
Fender,,Alder,,,,,Solidbody,,674.99
Yamaha,,,,,,,,,599.99
James Tyler,2019,Solid Wood,Studio,Studio Elite HD,6 String,Burning Water 2K,Solid,,4500.00
Charvel,,Alder,,,,,Solidbody,,849.99
Jackson,,Basswood,,,,,Solidbody,,329.99
Godin,,,,,,,,,1595.00
Epiphone,,,,,,,,,583.88
Charvel,1991,,,,,,,,899.99
Dean,,,,,6 String,Ocean Burst,Z,,1099.00
Schecter,,,,2061,,,,,399.00
Unbranded,,,,,,,,,699.99
Legator,,,,,,,,,1399.00
Paul Reed Smith,,,,,,,,,789.00
D'Angelico,,,,DADSSMYLGSCB,6 String,Matte Electric Yellow,Semi-Hollow,Right-Handed,1399.00
