Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Fender,2004,,Fender Stratocaster,Fender Showmaster Stratocaster,6 String,Orange,Solid,Right-Handed,535.00
Fender,,,Fender Jaguar,Classic,,,,,739.00
Squier,,,Fender Stelecaster,Telecaster Thinline,,,,,425.00
Fender,,,Fender Stratocaster,,,,,,473.00
Fender,2019,,,Player Series Telecaster,6 String,3-Tone Sunburst,Solid,,674.99
Fender,,,Fender Stratocaster,Modern Player Short Scale Stratocaster,6 String,Classic Sunburst,Solid,Right-Handed,539.95
Fender,,Ash,Fender Stratocaster,,,,,,1699.99
Fender,,,,American Standard Stratocaster,,,,,899.99
Fender,,,,,,,,,1199.99
Fender,2003,,,,,Brown,,,1100.00
Fender,,,,50SSTRATLACQUERMN2TS,,,,,739.00
Fender,,'Ash, Alder',Fender Stratocaster,Classic,6 String,,Solid,,600.00
Fender,2013,,Fender Special Run,Classic series 50s,,Black,solid telecaster,Right-Handed,825.00
Fender,,Ash,Fender Stratocaster,Vintage,,White,,,549.99
VR (Vintage Relic),2019,Alder,,Telecaster Deluxe,6 String,Blonde,Solid,,799.00
Fender,,Alder,Fender Stratocaster,Fender Player Stratocaster,6 String,White,Solidbody,Right-Handed,545.60
Fender,,,,,,,,,549.00
,2010,,,STANDARD STRATOCASTER,,,,,499.00
Fender,1990,'Solid Wood, Ash',,Contemporary Stratocaster,6 String,Red Metallic,Solid,,499.00
Fender,,,Fender Telecaster,,,Candy Apple Red,,,695.00
Fender,2016,,Fender Telecaster,American Professional Offset Telecaster,6 String,Lake Placid Blue,Solid,Right-Handed,999.00
Fender,,,,Squier Jaguar,6 String,,,Right-Handed,329.99
Fender,,,,,,,,,349.99
Fender Squier Stagemaster,2000,Alder,Fender Squier Stagemaster Special Run,Deluxe,,Red Wine,Strat Neck Thru,Right-Handed,379.92
Fender,,,,,,,,,849.00
Fender,,,,,,,,,549.00
Fender,,,,,,,,,699.00
Fender,,,,,,,,,349.99
Squier,,,,,,,,,359.99
Custom by Nate's Relic Guitars,2019,Solid Wood,,Barncaster,6 String,Reclaimed Wood,Solid,,719.50
Squier,,,,Classic Vibe '60s Jazzmaster,,Sunburst,,,379.00
Fender,,Alder,Fender Telecaster,American Elite Telecaster,6 String,Mystic Black,Solid,Right-Handed,1399.99
Fender,,,,,,,,,652.49
Fender,2010,'Solid Wood, Alder',Fender Stratocaster,Classic Player '60s Stratocaster,6 String,3-Color Sunburst,Solid,Right-Handed,700.00
,,,,,,,,,686.88
Fender,,,,,,,,,349.99
Fender,2019,Alder,Fender Ultra,Stratocaster HSS,6 String,Arctic Pearl,Solid,Right-Handed,1899.99
Fender,,,,,,,,,349.99
Does not apply,,,,,,,,,2299.99
VR (Vintage Relic),2019,Ash,,Telecaster,6 String,Sunburst,Solid,,699.00
